input_IDs	ENTREZID	SYMBOL	logFC_DESeq2	FDR_DESeq2	pvalue_DESeq2	DESeq2_DEG	DEG_counts	combined_FDR	FDR_labeling	mean_logFCs	genes_tag	Cluster_ID	Cluster_MM	Cluster_MM_pval
1	1	A1BG	0.000873269206947571	0.999880771807534	0.993724133853058	FALSE	0	0.999880771807534	NOTSIGN	0.000873269206947571	PREVALENT_DEG	0	-0.226913998691927	0.0130767143055457
10	10	NAT2	-0.089920998855688	0.999880771807534	0.462814102924139	FALSE	0	0.999880771807534	NOTSIGN	-0.089920998855688	PREVALENT_DEG	0	-0.716940288923905	4.74346213001149e-20
100	100	ADA	0.0027896818618997	0.999880771807534	0.979926057329946	FALSE	0	0.999880771807534	NOTSIGN	0.0027896818618997	PREVALENT_DEG	0	0.165954050856812	0.0712680743305588
1000	1000	CDH2	0.00138927532591287	0.999880771807534	0.990182827006987	FALSE	0	0.999880771807534	NOTSIGN	0.00138927532591287	PREVALENT_DEG	0	0.0515148580453717	0.577938310456553
10000	10000	AKT3	-0.000181204609368872	0.999880771807534	0.998624656030463	FALSE	0	0.999880771807534	NOTSIGN	-0.000181204609368872	PREVALENT_DEG	0	0.366656368124783	4.1082510197762e-05
100009676	100009676	ZBTB11-AS1	0.0064220382107264	0.999880771807534	0.954200244987935	FALSE	0	0.999880771807534	NOTSIGN	0.0064220382107264	PREVALENT_DEG	0	-0.267400565613987	0.00328278224742741
10001	10001	MED6	0.00873575905186736	0.999880771807534	0.935011990566036	FALSE	0	0.999880771807534	NOTSIGN	0.00873575905186736	PREVALENT_DEG	0	0.648550052669352	1.52606369317192e-15
10002	10002	NR2E3	-0.000364309113887331	0.999880771807534	0.997311843182055	FALSE	0	0.999880771807534	NOTSIGN	-0.000364309113887331	PREVALENT_DEG	0	-0.446849161426812	3.50177695473141e-07
100033422	100033422	SNORD116-10	-0.077706585875237	0.999880771807534	0.50750059501274	FALSE	0	0.999880771807534	NOTSIGN	-0.077706585875237	PREVALENT_DEG	0	-0.605012434368006	3.15981793563114e-13
100033423	100033423	SNORD116-11	-0.0136055612443429	0.999880771807534	0.908195098941152	FALSE	0	0.999880771807534	NOTSIGN	-0.0136055612443429	PREVALENT_DEG	0	-0.160470143156663	0.0812704254581488
100033441	100033441	SNORD115-4	-0.0403436624743067	0.999880771807534	0.722861124064426	FALSE	0	0.999880771807534	NOTSIGN	-0.0403436624743067	PREVALENT_DEG	1	0.739714712797301	7.35618150292722e-22
100033445	100033445	SNORD115-8	-0.0285839617763005	0.999880771807534	0.805178179227549	FALSE	0	0.999880771807534	NOTSIGN	-0.0285839617763005	PREVALENT_DEG	0	-0.570518802578803	1.25644041318242e-11
100033447	100033447	SNORD115-10	-0.0887522596620101	0.999880771807534	0.423786677984169	FALSE	0	0.999880771807534	NOTSIGN	-0.0887522596620101	PREVALENT_DEG	1	0.839254299869435	9.59850659234618e-33
100033451	100033451	SNORD115-14	-0.00742888397479877	0.999880771807534	0.947578236070974	FALSE	0	0.999880771807534	NOTSIGN	-0.00742888397479877	PREVALENT_DEG	1	0.769274099982926	1.64250349296156e-24
100033453	100033453	SNORD115-15	-0.05445293053356	0.999880771807534	0.620247559161246	FALSE	0	0.999880771807534	NOTSIGN	-0.05445293053356	PREVALENT_DEG	1	0.825940643136509	6.69964525507106e-31
100033455	100033455	SNORD115-17	-0.116256477416967	0.999880771807534	0.312395990521755	FALSE	0	0.999880771807534	NOTSIGN	-0.116256477416967	PREVALENT_DEG	1	0.837776659404888	1.5667844333029e-32
100033801	100033801	SNORD115-25	-0.0843466693542885	0.999880771807534	0.463600291643722	FALSE	0	0.999880771807534	NOTSIGN	-0.0843466693542885	PREVALENT_DEG	1	0.843277726068102	2.46425633150789e-33
100033804	100033804	SNORD115-30	-0.0559767727535912	0.999880771807534	0.63610347616021	FALSE	0	0.999880771807534	NOTSIGN	-0.0559767727535912	PREVALENT_DEG	0	-0.438421767726366	6.13311908663248e-07
100033805	100033805	SNORD115-31	-0.0829838212035998	0.999880771807534	0.466726052093229	FALSE	0	0.999880771807534	NOTSIGN	-0.0829838212035998	PREVALENT_DEG	1	0.858969207010848	8.29742910023895e-36
100033806	100033806	SNORD115-32	-0.057613152900843	0.999880771807534	0.621245915834552	FALSE	0	0.999880771807534	NOTSIGN	-0.057613152900843	PREVALENT_DEG	1	0.643138224494465	3.10292206771593e-15
100033807	100033807	SNORD115-33	-0.0796891850637989	0.999880771807534	0.463031454744492	FALSE	0	0.999880771807534	NOTSIGN	-0.0796891850637989	PREVALENT_DEG	1	0.836767992214219	2.18299625116573e-32
100033811	100033811	SNORD115-37	-0.0630626397953973	0.999880771807534	0.598304951244363	FALSE	0	0.999880771807534	NOTSIGN	-0.0630626397953973	PREVALENT_DEG	3	0.658104268489086	4.20767941644879e-16
100033813	100033813	SNORD115-39	-0.0611068318792657	0.999880771807534	0.582640535606461	FALSE	0	0.999880771807534	NOTSIGN	-0.0611068318792657	PREVALENT_DEG	1	0.824435031101091	1.0584877727027e-30
100033814	100033814	SNORD115-40	-0.0457200026015984	0.999880771807534	0.68008389205571	FALSE	0	0.999880771807534	NOTSIGN	-0.0457200026015984	PREVALENT_DEG	1	0.817715330515553	7.73879865188727e-30
100033818	100033818	SNORD115-44	-0.0492866897178747	0.999880771807534	0.649177075150275	FALSE	0	0.999880771807534	NOTSIGN	-0.0492866897178747	PREVALENT_DEG	1	0.859434837563866	6.93514909326453e-36
100036564	100036564	SNORD115-27	-0.0574374621781966	0.999880771807534	0.624418832896475	FALSE	0	0.999880771807534	NOTSIGN	-0.0574374621781966	PREVALENT_DEG	1	0.666790344247191	1.25169403145153e-16
100038246	100038246	TLX1NB	-0.0507318261458161	0.999880771807534	0.670872293827683	FALSE	0	0.999880771807534	NOTSIGN	-0.0507318261458161	PREVALENT_DEG	0	-0.593873252192279	1.08896239481281e-12
100048912	100048912	CDKN2B-AS1	-0.0328480332276823	0.999880771807534	0.784591203928897	FALSE	0	0.999880771807534	NOTSIGN	-0.0328480332276823	PREVALENT_DEG	0	-0.569658296931547	1.36991857306653e-11
100049587	100049587	SIGLEC14	0.0342083440229456	0.999880771807534	0.767082803136335	FALSE	0	0.999880771807534	NOTSIGN	0.0342083440229456	PREVALENT_DEG	0	-0.359911669158485	5.81207824095933e-05
